text_form	form	lemma	pos
ვენაჴი	ვენაჴი	ვენაჴი	N+Com
და	და	და	I+Conj
რუჲ	რუჲ	რუჲ	N+Com
გამოიღო	გამოიღო	გამოღება	V+Mas
ქსნით,	ქსნით	ქსანი	N+Top
და	და	და	I+Conj
დასხნა	დასხნა	დასხმა	V+Mas
კაცნი	კაცნი	კაცი	N+Com
მერუვენი	მერუვენი	მერუვჱ	A
დასტაგითა	დასტაგითა	დასტაგი	N+Com
რუჲსაჲთა;	რუჲსაჲთა	რუჲ	N+Com
და	და	და	I+Conj
ჰრქჳან	ჰრქჳან	რქუმა	V+Mas
ადგილსა	ადგილსა	ადგილი	N+Com
მას	მას	იგი	PRO+Dem
ნასტაგისი.	ნასტაგისი	ნასტაგისი	N+Top
და	და	და	I+Conj
მერმე	მერმე	მერმე	I+Adv
გამოიღო	გამოიღო	გამოღება	V+Mas
სარკინე.	სარკინე	სარკინე	N+Top
თჳთ	თჳთ	თჳთ	I+Adv
დაყარეს	დაყარეს	დაყრა	V+Mas
და	და	და	I+Conj
მეოტ	მეოტ	მეოტი	N+Com
იქმნნეს.	იქმნნეს	ქმნა	V+Mas
და	და	და	I+Conj
თანა-ჰყვანდა	თანა-ჰყვანდა	თანაყოლა	V+Mas
ალექსანდრეს	ალექსანდრეს	ალექსანდრე	N+Ant
მეფესა	მეფესა	მეფჱ	N+Com
აზოჲ,	აზოჲ	აზო	N+Ant
ძჱ	ძჱ	ძჱ	N+Com
არიან-ქართლისა	არიან-ქართლისა	არიან-ქართლი	N+Top
მეფისაჲ,	მეფისაჲ	მეფჱ	N+Com
და	და	და	I+Conj
მას	მას	იგი	PRO+Dem
მიუბოძა	მიუბოძა	მიბოძება	V+Mas
მცხეთაჲ	მცხეთაჲ	მცხეთა	N+Top
საჯდომად	საჯდომად	საჯდომი	V+Part
და	და	და	I+Conj
საზღვარი	საზღვარი	საზღვარი	N+Com
დაუდვა	დაუდვა	დადება	V+Mas
მას	მას	იგი	PRO+Dem
ჰერეთი	ჰერეთი	ჰერეთი	N+Top
და	და	და	I+Conj
ეგრის	ეგრის	ეგრი	N+Top
წყალი	წყალი	წყალი	N+Com
და	და	და	I+Conj
სომხითი	სომხითი	სომხითი	N+Top
და	და	და	I+Conj
მთაჲ	მთაჲ	მთაჲ	N+Com
ცროლისაჲ	ცროლისაჲ	ცროლი	N+Top
და	და	და	I+Conj
წარვიდა.	წარვიდა	წარსლვა	V+Mas
ხოლო	ხოლო	ხოლო	I+Conj
ესე	ესე	ესე	PRO+Dem
აზოჲ	აზოჲ	აზო	N+Ant
წარვიდა	წარვიდა	წარსლვა	V+Mas
არიან-ქართლად,	არიან-ქართლად	არიან-ქართლი	N+Top
მამისა	მამისა	მამაჲ	N+Com
თჳსისა,	თჳსისა	თჳსი	PRO+Pos3s
და	და	და	I+Conj
წარმოიყვანა	წარმოიყვანა	წარმოყვანება	V+Mas
რვაჲ	რვაჲ	რვაჲ	NUM+Car
სახლი	სახლი	სახლი	N+Com
და	და	და	I+Conj
ათნი	ათნი	ათი	NUM+Car
სახლნი	სახლნი	სახლი	N+Com
მამამძუძეთანი,	მამამძუძეთანი	მამამძუძჱ	V+Part
და	და	და	I+Conj
დაჯდა	დაჯდა	დაჯდომა	V+Mas
ძუელ	ძუელ	ძუელი	A
მცხეთას.	მცხეთას	მცხეთა	N+Top
და	და	და	I+Conj
თანა-ჰყვანდეს	თანა-ჰყვანდეს	თანაყოლა	V+Mas
კერპნი	კერპნი	კერპი	N+Com
ღმრთად,	ღმრთად	ღმერთი	N+Com
გაცი	გაცი	გაცი	N+Ant
და	და	და	I+Conj
გაიმ.	გაიმ	გაიმ	N+Ant
და	და	და	I+Conj
ესე	ესე	ესე	PRO+Dem
იყო	იყო	ყოფა	V+Mas
პირველი	პირველი	პირველი	NUM+Ord
მეფჱ	მეფჱ	მეფჱ	N+Com
მცხეთას	მცხეთას	მცხეთა	N+Top
შინა,	შინა	შინა	I+Prep
აზოჲ,	აზოჲ	აზო	N+Ant
ძჱ	ძჱ	ძჱ	N+Com
არიან-ქართველთა	არიან-ქართველთა	არიან-ქართველი	A
მეფისაჲ,	მეფისაჲ	მეფჱ	N+Com
და	და	და	I+Conj
მოკუდა.	მოკუდა	მოკუდომა	V+Mas
და	და	და	I+Conj
შემდგომად	შემდგომად	შემდგომი	V+Part
მისა,	მისა	იგი	PRO+Dem
დადგა	დადგა	დადგომა	V+Mas
ფარნავაზ.	ფარნავაზ	ფარნავაზ	N+Ant
ამან	ამან	ესე	PRO+Dem
აღმართა	აღმართა	აღმართება	V+Mas
კერპი	კერპი	კერპი	N+Com
დიდი	დიდი	დიდი	A
ცხჳრსა	ცხჳრსა	ცხჳრი	N+Com
ზედა,	ზედა	ზედა	I+Prep
და	და	და	I+Conj
დასდვა	დასდვა	დადება	V+Mas
სახელი	სახელი	სახელი	N+Com
მისი	მისი	მისი	PRO+Pos3s
არმაზი.	არმაზი	არმაზ (ant)	N+Ant
და	და	და	I+Conj
მოქმნა	მოქმნა	მოქმნა	V+Mas
ზღუდე	ზღუდე	ზღუდჱ	N+Com
წყლით	წყლით	წყალი	N+Com
კერძო	კერძო	კერძოჲ	A
და	და	და	I+Conj
ჰრქჳან	ჰრქჳან	რქუმა	V+Mas
არმაზ.	არმაზ	არმაზ (top)	N+Top
და	და	და	I+Conj
შემდგომად	შემდგომად	შემდგომი	V+Part
მისა,	მისა	იგი	PRO+Dem
დადგა	დადგა	დადგომა	V+Mas
მეფედ	მეფედ	მეფჱ	N+Com
საურმაგ.	საურმაგ	საურმაგ	N+Ant
ამან	ამან	ესე	PRO+Dem
აღმართა	აღმართა	აღმართება	V+Mas
კერპი	კერპი	კერპი	N+Com
აჲნინა	აჲნინა	აჲნინა	N+Ant
გზასა	გზასა	გზაჲ	N+Com
ზედა	ზედა	ზედა	I+Prep
და	და	და	I+Conj
იწყო	იწყო	წყება	V+Mas
არმაზს	არმაზს	არმაზ (top)	N+Top
შჱნებად.	შჱნებად	შჱნებაჲ	N+Com
და	და	და	I+Conj
მისა	მისა	იგი	PRO+Dem
შემდგომად	შემდგომად	შემდგომი	V+Part
მეფობდა	მეფობდა	მეფობა	V+Mas
მირვან.	მირვან	მირვან	N+Ant
და	და	და	I+Conj
აღმართა	აღმართა	აღმართება	V+Mas
დანინა	დანინა	დანინა	N+Ant
გზასა	გზასა	გზაჲ	N+Com
ზედა	ზედა	ზედა	I+Prep
წინარჱ,	წინარჱ	წინარჱ	A
და	და	და	I+Conj
აღაშენა	აღაშენა	აღშჱნება	V+Mas
არმაზი.	არმაზი	არმაზ (top)	N+Top
და	და	და	I+Conj
მეფობდა	მეფობდა	მეფობა	V+Mas
ფარნაჯობ	ფარნაჯობ	ფარნაჯობ	N+Ant
და	და	და	I+Conj
აღმართა	აღმართა	აღმართება	V+Mas
კერპი	კერპი	კერპი	N+Com
ზადენ	ზადენ	ზადენ	N+Ant
მთასა	მთასა	მთაჲ	N+Com
ზედა	ზედა	ზედა	I+Prep
და	და	და	I+Conj
აღაშენა	აღაშენა	აღშჱნება	V+Mas
[ციხჱ].	ციხჱ	ციხჱ	N+Com
და	და	და	I+Conj
მეფობდა	მეფობდა	მეფობა	V+Mas
არს〈ოკ〉,	არსოკ	არსოკ	N+Ant
ქალაქსა	ქალაქსა	ქალაქი	N+Com
ზღუდენი	ზღუდენი	ზღუდჱ	N+Com
მოაქმნნა.	მოაქმნნა	მოქმნა	V+Mas
და	და	და	I+Conj
მეფობდა	მეფობდა	მეფობა	V+Mas
არიკ,	არიკ	არიკ	N+Ant
რომელმან	რომელმან	რომელი (იგი)	PRO+Rel
შიდა	შიდა	შიდა	I+Prep
ციხე	ციხე	ციხჱ	N+Com
აღაშენა	აღაშენა	აღშჱნება	V+Mas
არმაზსა.	არმაზსა	არმაზ (top)	N+Top
და	და	და	I+Conj
მეფობდა	მეფობდა	მეფობა	V+Mas
ბრატმან,	ბრატმან	ბრატმან	N+Ant
რომელსა	რომელსა	რომელი (იგი)	PRO+Rel
ზე	ზე	ზე	I+Prep
მცხეთას	მცხეთას	მცხეთა	N+Top
ქალაქი	ქალაქი	ქალაქი	N+Com
დაეწყო.	დაეწყო	დაწყება	V+Mas
და	და	და	I+Conj
მეფობდა	მეფობდა	მეფობა	V+Mas
მირეან	მირეან	მირიან	N+Ant
და	და	და	I+Conj
მან	მან	იგი	PRO+Dem
აღაშენა	აღაშენა	აღშჱნება	V+Mas
მცხეთაჲ	მცხეთაჲ	მცხეთა	N+Top
ქალაქი.	ქალაქი	ქალაქი	N+Com
და	და	და	I+Conj
მეფობდა	მეფობდა	მეფობა	V+Mas
არსუკ,	არსუკ	არსუკ	N+Ant
რომელმან	რომელმან	რომელი (იგი)	PRO+Rel
კასპი	კასპი	კასპი	N+Top
შეიპყრა	შეიპყრა	შეპყრობა	V+Mas
და	და	და	I+Conj
უფლისციხე	უფლისციხე	უფლისციხჱ	N+Top
განაგო.	განაგო	განგება	V+Mas
და	და	და	I+Conj
მეფობდა	მეფობდა	მეფობა	V+Mas
როკ,	როკ	როკ	N+Ant
რომელმან	რომელმან	რომელი (იგი)	PRO+Rel
რაჲთურთით	რაჲთურთით	რაჲთურთით	I+Adv
მცხეთაჲ	მცხეთაჲ	მცხეთა	N+Top
გაიშორა.	გაიშორა	განშორება	V+Mas
და	და	და	I+Conj
მეფობაჲ	მეფობაჲ	მეფობაჲ	N+Com
ორად	ორად	ორი	NUM+Car
გაიყო,	გაიყო	განყოფა	V+Mas
ორნი	ორნი	ორი	NUM+Car
მეფენი	მეფენი	მეფჱ	N+Com
დასხდეს	დასხდეს	დასხმა	V+Mas
იმიერ	იმიერ	იმიერ	I+Adv
და	და	და	I+Conj
ამიერ.	ამიერ	ამიერ	I+Adv
და	და	და	I+Conj
მეფობდა	მეფობდა	მეფობა	V+Mas
ქარძამ	ქარძამ	ქარძამ	N+Ant
არმაზს	არმაზს	არმაზ (top)	N+Top
და	და	და	I+Conj
მცხეთას	მცხეთას	მცხეთა	N+Top
ბრატმან.	ბრატმან	ბრატმან	N+Ant
და	და	და	I+Conj
ამათთა	ამათთა	ესე	PRO+Dem
ჟამთა	ჟამთა	ჟამი	N+Com
ჰურიანი	ჰურიანი	ჰურიაჲ	A
მოვიდეს	მოვიდეს	მოსლვა	V+Mas
მცხეთას	მცხეთას	მცხეთა	N+Top
და	და	და	I+Conj
დასხდეს.	დასხდეს	დასხმა	V+Mas
და	და	და	I+Conj
მეფობდა	მეფობდა	მეფობა	V+Mas
იმიერ	იმიერ	იმიერ	I+Adv
ფარსმან	ფარსმან	ფარსმან	N+Ant
და	და	და	I+Conj
ამიერ	ამიერ	ამიერ	I+Adv
კაოზ.	კაოზ	კაოზ	N+Ant
და	და	და	I+Conj
მეფობდა	მეფობდა	მეფობა	V+Mas
იმიერ	იმიერ	იმიერ	I+Adv
არსოკ	არსოკ	არსოკ	N+Ant
და	და	და	I+Conj
ამიერ	ამიერ	ამიერ	I+Adv
ამაზაერ.	ამაზაერ	ამაზაერ	N+Ant
და	და	და	I+Conj
მეფობდა	მეფობდა	მეფობა	V+Mas
იმიერ	იმიერ	იმიერ	I+Adv
ამაზასპ	ამაზასპ	ამაზასპ	N+Ant
და	და	და	I+Conj
ამიერ	ამიერ	ამიერ	I+Adv
დერუკ.	დერუკ	დერუკ	N+Ant
და	და	და	I+Conj
მეფობდა	მეფობდა	მეფობა	V+Mas
იმიერ	იმიერ	იმიერ	I+Adv
ფარსმან	ფარსმან	ფარსმან	N+Ant
ქველი	ქველი	ქველი	A
და	და	და	I+Conj
ამიერ	ამიერ	ამიერ	I+Adv
ამიერ	ამიერ	ამიერ	I+Adv
ფარსმან	ფარსმან	ფარსმან	N+Ant
ავაზ.	ავაზ	ავაზი	N+Com
და	და	და	I+Conj
მეფობდა	მეფობდა	მეფობა	V+Mas
იმიერ	იმიერ	იმიერ	I+Adv
როკ	როკ	როკ	N+Ant
და	და	და	I+Conj
ამიერ	ამიერ	ამიერ	I+Adv
მირდატ.	მირდატ	მირდატ	N+Ant
და	და	და	I+Conj
ამისა	ამისა	ესე	PRO+Dem
ზე	ზე	ზე	I+Prep
მოაკლდა	მოაკლდა	მოკლება	V+Mas
არმაზი	არმაზი	არმაზ (top)	N+Top
სამეუფოჲ	სამეუფოჲ	სამეუფოჲ	A
და	და	და	I+Conj
მცხეთას	მცხეთას	მცხეთა	N+Top
ოდენ	ოდენ	ოდენ	I+Adv
იყო	იყო	ყოფა	V+Mas
მეფობაჲ.	მეფობაჲ	მეფობაჲ	N+Com
და	და	და	I+Conj
მეფობდა	მეფობდა	მეფობა	V+Mas
ღადამი	ღადამი	ღადამი	N+Ant
და	და	და	I+Conj
დღე	დღე	დღჱ	N+Com
კ.	კ	20	NUMA+Car
და	და	და	I+Conj
ფარსმან.	ფარსმან	ფარსმან	N+Ant
და	და	და	I+Conj
ამაზასპ.	ამაზასპ	ამაზასპ	N+Ant
და	და	და	I+Conj
რევ	რევ	რევ	N+Ant
მართალი.	მართალი	მართალი	A
ვაჩე.	ვაჩე	ვაჩე	N+Ant
ბაკურ.	ბაკურ	ბაკურ	N+Ant
მირდატ.	მირდატ	მირდატ	N+Ant
ასფაგურ.	ასფაგურ	ასფაგურ	N+Ant
ლევ	ლევ	ლევ	N+Ant
მამაჲ	მამაჲ	მამაჲ	N+Com
მირეანისი	მირეანისი	მირიან	N+Ant
ესე	ესე	ესე	PRO+Dem
ოც	ოც	ოცი	NUM+Car
და	და	და	I+Conj
რვანი	რვანი	რვაჲ	NUM+Car
მეფენი	მეფენი	მეფჱ	N+Com
ქართლს	ქართლს	ქართლი	N+Top
შინა	შინა	შინა	I+Prep
წარმართნი.	წარმართნი	წარმართი	N+Com
და	და	და	I+Conj
იყო	იყო	ყოფა	V+Mas
დღეთა	დღეთა	დღჱ	N+Com
კოსტანტინე	კოსტანტინე	კოსტანტინე	N+Ant
მეფისათა,	მეფისათა	მეფჱ	N+Com
ქრისტეს	ქრისტეს	ქრისტე	N+Ant
აღმაღლებითგან	აღმაღლებითგან	აღმაღლებაჲ@გან	N+Com@I+Prep
სამას	სამას	სამასი	NUM+Car
და	და	და	I+Conj
მეათესა	მეათესა	მეათჱ	NUM+Ord
წელსა,	წელსა	წელი	N+Com
იყო	იყო	ყოფა	V+Mas
ღუაწლი	ღუაწლი	ღუაწლი	N+Com
ბრძოლისაჲ	ბრძოლისაჲ	ბრძოლაჲ	N+Com
მტერთაგან	მტერთაგან	მტერი@გან	N+Com@I+Prep
და	და	და	I+Conj
ფრიად	ფრიად	ფრიად	I+Adv
ერეოდეს	ერეოდეს	რევა	V+Mas
მეფესა	მეფესა	მეფჱ	N+Com
კოსტანტინეს,	კოსტანტინეს	კოსტანტინე	N+Ant
ძესა	ძესა	ძჱ	N+Com
კოსტაჲსსა.	კოსტაჲსსა	კოსტა	N+Ant
და	და	და	I+Conj
გულგდებულ	გულგდებულ	გულგდებული	V+Part
იყო	იყო	ყოფა	V+Mas
ურვათაგან	ურვათაგან	ურვაჲ@გან	A@I+Prep
კოსტანტი	კოსტანტი	კოსტანტ	N+Ant
კეისარი.	კეისარი	კეისარი	N+Com
იყო	იყო	ყოფა	V+Mas
ვინმე	ვინმე	ვინმე	PRO+Ind
კაცი	კაცი	კაცი	N+Com
ეფესელი	ეფესელი	ეფესელი	A
და	და	და	I+Conj
წარმოთქუა	წარმოთქუა	წარმოთქუმა	V+Mas
წინაშე	წინაშე	წინაშე	I+Prep
მეფისა,	მეფისა	მეფჱ	N+Com
ვითარმედ:	ვითარმედ	ვითარმედ	I+Conj
«ქრისტეანენი	ქრისტეანენი	ქრისტეანჱ	A
იგი	იგი	იგი	PRO+Dem
ჰრომნი	ჰრომნი	ჰრომი	A
და	და	და	I+Conj
ყოველნი	ყოველნი	ყოველი	A
ჰინდონი	ჰინდონი	ჰინდოჲ	A
და	და	და	I+Conj
ვისცა	ვისცა	ვინ@ცა	PRO+Int@I+Part
ვის	ვის	ვინ	PRO+Int
აქუს	აქუს	ქონება	V+Mas
შჯული	შჯული	შჯული	N+Com
იგი	იგი	იგი	PRO+Dem
ახალი	ახალი	ახალი	A
ქრისტეს	ქრისტეს	ქრისტე	N+Ant
წმიდისაჲ	წმიდისაჲ	წმიდაჲ	A
ძელითა	ძელითა	ძელი	N+Com
ჯუარისაჲთა	ჯუარისაჲთა	ჯუარი	N+Com
და	და	და	I+Conj
მისითა	მისითა	მისი	PRO+Pos3s
სასოვებითა	სასოვებითა	სასოებაჲ	N+Com
სძლევენ	სძლევენ	ძლევა	V+Mas
მტერთა	მტერთა	მტერი	N+Com
ძლიერად».	ძლიერად	ძლიერი	A
მას	მას	იგი	PRO+Dem
ჟამსა	ჟამსა	ჟამი	N+Com
აღიძრა	აღიძრა	აღძრვა	V+Mas
მეფჱ	მეფჱ	მეფჱ	N+Com
გუნდებითა,	გუნდებითა	გუნდი	N+Com
და	და	და	I+Conj
წარავლინა	წარავლინა	წარვლინება	V+Mas
მოყვანებად	მოყვანებად	მოყვანებაჲ	N+Com
ებისკოპოსთა	ებისკოპოსთა	ეპისკოპოსი	N+Com
იერუსალჱმით,	იერუსალჱმით	იერუსალჱმი	N+Top
ანტიოქიაჲთ,	ანტიოქიაჲთ	ანტიოქია	N+Top
ჰრომით	ჰრომით	ჰრომი (top)	N+Top
და	და	და	I+Conj
ალექსანდრიაჲთ.	ალექსანდრიაჲთ	ალექნანდრია	N+Top
და	და	და	I+Conj
ნათელ-იღო	ნათელ-იღო	ნათლისღება	V+Mas
მან	მან	იგი	PRO+Dem
თავადმან	თავადმან	თავადი	N+Com
და	და	და	I+Conj
დედამან	დედამან	დედაჲ	N+Com
მისმან	მისმან	მისი	PRO+Pos3s
ბანაკითურთ.	ბანაკითურთ	ბანაკი@ურთ	N+Com@I+Prep
ხოლო	ხოლო	ხოლო	I+Conj
ამით	ამით	ესე	PRO+Dem
ჟამითგან	ჟამითგან	ჟამი@გან	N+Com@I+Prep
მეათესა	მეათესა	მეათჱ	NUM+Ord
წელსა	წელსა	წელი	N+Com
წარვიდა	წარვიდა	წარსლვა	V+Mas
ჰელენე	ჰელენე	ელენე	N+Ant
იერუსალჱმდ	იერუსალჱმდ	იერუსალჱმი	N+Top
ძიებად	ძიებად	ძიებაჲ	N+Com
ჯუართა.	ჯუართა	ჯუარი	N+Com
და	და	და	I+Conj
მეათხუთხმეტესა	მეათხუთხმეტესა	მეათხუთხმეტჱ	NUM+Ord
წელსა	წელსა	წელი	N+Com
ივლტოდა	ივლტოდა	ვლტოლა	V+Mas
დედაკაცი	დედაკაცი	დედაკაცი	N+Com
ვინმე	ვინმე	ვინმე	PRO+Ind
მეფეთა	მეფეთა	მეფჱ	N+Com
ევადაგი,	ევადაგი	ევადაგი	N+Com
სახელით	სახელით	სახელი	N+Com
რიფსიმე,	რიფსიმე	რიფსიმე	N+Ant
რომლისამე	რომლისამე	რომელი (იგი)@მე	PRO+Rel@I+Part
მიზეზისათჳს	მიზეზისათჳს	მიზეზი@თჳს	N+Com@I+Prep
დედამძუძითურთ.	დედამძუძითურთ	დედამძუძჱ@ურთ	N+Com@I+Prep
და	და	და	I+Conj
იყო	იყო	ყოფა	V+Mas
მის	მის	იგი	PRO+Dem
თანა	თანა	თანა	I+Prep
ტყუე	ტყუე	ტყუჱ	N+Com
ერთი	ერთი	ერთი	NUM+Car
დედაკაცი	დედაკაცი	დედაკაცი	N+Com
შუენიერი,	შუენიერი	შუენიერი	A
სახელით	სახელით	სახელი	N+Com
ნინო,	ნინო	ნინო	N+Ant
რომლისა	რომლისა	რომელი (იგი)	PRO+Rel
საქმჱ	საქმჱ	საქმჱ	V+Part
მისი	მისი	მისი	PRO+Pos3s
გამოიძია	გამოიძია	გამოძიება	V+Mas
ჰელენე	ჰელენე	ელენე	N+Ant
დედოფალმან,	დედოფალმან	დედოფალი	N+Com
და	და	და	I+Conj
იყო	იყო	ყოფა	V+Mas
იგი	იგი	იგი	PRO+Dem
ჰრომი	ჰრომი	ჰრომი (top)	N+Top
მთავარი,	მთავარი	მთავარი	V+Part
და	და	და	I+Conj
თჳთ	თჳთ	თჳთ	I+Adv
მოევლო	მოევლო	მოვლენა	V+Mas
გზაჲ	გზაჲ	გზაჲ	N+Com
თჳსი	თჳსი	თჳსი	PRO+Pos3s
და	და	და	I+Conj
ექმნნეს	ექმნნეს	ქმნა	V+Mas
კურნებანი.	კურნებანი	კურნებაჲ	N+Com
და	და	და	I+Conj
მოწევნულ	მოწევნულ	მოწევნული	V+Part
იყო	იყო	ყოფა	V+Mas
საბერძნეთა	საბერძნეთა	საბერძნეთი	N+Top
და	და	და	I+Conj
ჰმოძღურიდა	ჰმოძღურიდა	მოძღურება	V+Mas
მთავარსა	მთავარსა	მთავარი	V+Part
მას	მას	იგი	PRO+Dem
რიფსიმეს.	რიფსიმეს	რიფსიმე	N+Ant
და	და	და	I+Conj
ვითარცა	ვითარცა	ვითარცა	I+Conj
წარმოივლტოდა	წარმოივლტოდა	წარმოვლტოლა	V+Mas
რიფსიმე	რიფსიმე	რიფსიმე	N+Ant
